Letter,Spoken Form
a,air
b,brav
b,bravo
c,cap
d,drum
e,each
f,fine
g,gust
h,harp
i,sit
j,jury
k,crunch
l,look
m,made
n,near
o,odd
p,pelt
q,quench
r,red
s,sun
t,trap
u,urge
v,vest
w,whale
x,plex
y,yank
z,zip

